No.,Time,Source,Destination,Protocol,Length,Info
224,0.944644,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
225,0.94905,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
226,0.953444,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
227,0.957728,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
228,0.962097,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
229,0.966305,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
230,0.970682,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
231,0.974971,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
232,0.979298,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
233,0.983899,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
234,0.98796,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
235,0.992771,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
236,0.997264,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
237,1.001326,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
238,1.005464,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
239,1.009619,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
240,1.01407,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
241,1.018614,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
242,1.022739,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
243,1.022764,10.0.0.2,10.0.0.1,ICMP,582,Destination unreachable (Port unreachable)
244,1.027049,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
245,1.031206,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
246,1.036314,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
247,1.040323,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
248,1.044495,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
249,1.048521,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
250,1.05364,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
251,1.057668,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
252,1.062248,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
253,1.066334,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
254,1.070936,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
255,1.074565,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
256,1.078998,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
257,1.08318,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
258,1.08753,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
259,1.092069,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
260,1.096122,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
261,1.100706,10.0.0.1,10.0.0.2,DNS,554,Unknown operation (11) 0x5858[Malformed Packet]
