"No.","Time","Source","Destination","Protocol","Length","Info","Delta"
"202","0.828682","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004376"
"203","0.832977","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004295"
"204","0.837253","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004276"
"205","0.841768","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004515"
"206","0.845918","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004150"
"207","0.850388","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004470"
"208","0.854713","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004325"
"209","0.858943","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004230"
"210","0.863343","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004400"
"211","0.867650","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004307"
"212","0.872076","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004426"
"213","0.876585","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004509"
"214","0.880703","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004118"
"215","0.885177","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004474"
"216","0.889129","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.003952"
"217","0.893470","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004341"
"218","0.898072","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004602"
"219","0.902116","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004044"
"220","0.906530","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004414"
"221","0.910980","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004450"
"222","0.915178","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004198"
"223","0.919431","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004253"
"224","0.923754","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004323"
"225","0.928331","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004577"
"226","0.932524","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004193"
"227","0.936772","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004248"
"228","0.941092","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004320"
"229","0.945410","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004318"
"230","0.949962","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004552"
"231","0.954119","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004157"
"232","0.958445","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004326"
"233","0.962763","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004318"
"234","0.967091","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004328"
"235","0.971419","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004328"
"236","0.975733","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004314"
"237","0.980076","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004343"
"238","0.984417","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004341"
"239","0.988744","10.0.0.1","10.0.0.2","DNS","554","Unknown operation (11) 0x5858[Malformed Packet]","0.004327"
